11/05/2022 at 08:59:59 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/J.htm for NYSE exchange
11/05/2022 at 09:00:00 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/K.htm for NYSE exchange
11/05/2022 at 09:00:00 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/L.htm for NYSE exchange
11/05/2022 at 09:00:01 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/M.htm for NYSE exchange
11/05/2022 at 09:00:01 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/N.htm for NYSE exchange
11/05/2022 at 09:00:02 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/O.htm for NYSE exchange
11/05/2022 at 09:00:02 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/P.htm for NYSE exchange
11/05/2022 at 09:00:03 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/Q.htm for NYSE exchange
11/05/2022 at 09:00:03 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/R.htm for NYSE exchange
11/05/2022 at 09:00:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/S.htm for NYSE exchange
11/05/2022 at 09:00:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/T.htm for NYSE exchange
11/05/2022 at 09:00:05 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/U.htm for NYSE exchange
11/05/2022 at 09:00:05 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/V.htm for NYSE exchange
11/05/2022 at 09:00:06 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/W.htm for NYSE exchange
11/05/2022 at 09:00:06 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/X.htm for NYSE exchange
11/05/2022 at 09:00:07 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/Y.htm for NYSE exchange
11/05/2022 at 09:00:07 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NYSE/Z.htm for NYSE exchange
11/05/2022 at 09:00:07 | INFO | __main__ | Cleaned the symbols and names by removing hyphens and additional letters
11/05/2022 at 09:00:07 | SUCCESS | __main__ | Extracted all the company names, symbols and combined them into a list of tuples:
11/05/2022 at 09:25:01 | INFO | __main__ | Get stock market tickers for NASDAQ exchange
11/05/2022 at 09:25:02 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/A.htm for NASDAQ exchange
11/05/2022 at 09:25:03 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/B.htm for NASDAQ exchange
11/05/2022 at 09:25:03 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/C.htm for NASDAQ exchange
11/05/2022 at 09:25:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/D.htm for NASDAQ exchange
11/05/2022 at 09:25:05 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/E.htm for NASDAQ exchange
11/05/2022 at 09:25:06 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/F.htm for NASDAQ exchange
11/05/2022 at 09:25:06 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/G.htm for NASDAQ exchange
11/05/2022 at 09:25:07 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/H.htm for NASDAQ exchange
11/05/2022 at 09:25:08 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/I.htm for NASDAQ exchange
11/05/2022 at 09:25:08 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/J.htm for NASDAQ exchange
11/05/2022 at 09:25:09 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/K.htm for NASDAQ exchange
11/05/2022 at 09:25:09 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/L.htm for NASDAQ exchange
11/05/2022 at 09:25:10 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/M.htm for NASDAQ exchange
11/05/2022 at 09:25:10 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/N.htm for NASDAQ exchange
11/05/2022 at 09:25:11 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/O.htm for NASDAQ exchange
11/05/2022 at 09:25:12 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/P.htm for NASDAQ exchange
11/05/2022 at 09:25:12 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/Q.htm for NASDAQ exchange
11/05/2022 at 09:25:13 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/R.htm for NASDAQ exchange
11/05/2022 at 09:25:14 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/S.htm for NASDAQ exchange
11/05/2022 at 09:25:14 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/T.htm for NASDAQ exchange
11/05/2022 at 09:25:15 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/U.htm for NASDAQ exchange
11/05/2022 at 09:25:15 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/V.htm for NASDAQ exchange
11/05/2022 at 09:25:16 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/W.htm for NASDAQ exchange
11/05/2022 at 09:25:16 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/X.htm for NASDAQ exchange
11/05/2022 at 09:25:17 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/Y.htm for NASDAQ exchange
11/05/2022 at 09:25:17 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/Z.htm for NASDAQ exchange
11/05/2022 at 09:25:17 | INFO | __main__ | Cleaned the symbols and names by removing hyphens and additional letters
11/05/2022 at 09:25:17 | SUCCESS | __main__ | Extracted all the company names, symbols and combined them into a list of tuples:
11/05/2022 at 09:31:03 | INFO | __main__ | Get stock market tickers for NASDAQ exchange
11/05/2022 at 09:31:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/A.htm for NASDAQ exchange
11/05/2022 at 09:31:04 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/B.htm for NASDAQ exchange
11/05/2022 at 09:31:05 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/C.htm for NASDAQ exchange
11/05/2022 at 09:31:06 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/D.htm for NASDAQ exchange
11/05/2022 at 09:31:06 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/E.htm for NASDAQ exchange
11/05/2022 at 09:31:07 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/F.htm for NASDAQ exchange
11/05/2022 at 09:31:08 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/G.htm for NASDAQ exchange
11/05/2022 at 09:31:08 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/H.htm for NASDAQ exchange
11/05/2022 at 09:31:09 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/I.htm for NASDAQ exchange
11/05/2022 at 09:31:10 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/J.htm for NASDAQ exchange
11/05/2022 at 09:31:11 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/K.htm for NASDAQ exchange
11/05/2022 at 09:31:12 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/L.htm for NASDAQ exchange
11/05/2022 at 09:31:13 | INFO | __main__ | Extracted tickers from http://eoddata.com/stocklist/NASDAQ/M.htm for NASDAQ exchange
